ticket_key,issue_type,title,summary,background_rationale,scope,out_of_scope,acceptance_criteria,dependencies,priority,estimate,owner_role,labels,risk_level,demo_relevance,artifacts_or_files_expected,test_notes,rollback_or_fallback,suggested_status
MVP-E1,Epic,Foundation & Integrations,Secure startup and provider adapters,Reliability depends on trustworthy data flow,Config|auth|identity normalization|Jira/GitHub adapters,OAuth multi-user|DB|background sync,Children complete; known user yields normalized payloads; missing config blocks startup,,P0,8h roll-up,Tech Lead / Integrations,epic|foundation|integrations|critical-path,High,Critical,src/config/*|src/adapters/*|config/*.json,Validated by child tickets and fixtures,Use fixtures or single-provider demo,Ready
MVP-E2,Epic,Query & Experience,Natural language to grounded answer,This is the visible AI layer,Parsing|orchestration|rendering|web UI|thin CLI,Chat history|session memory|agent autonomy,End-to-end answer works; partial failures visible; web path demoable,MVP-E1,P0,7h roll-up,Tech Lead / Full-stack,epic|experience|query|critical-path,High,Critical,src/query/*|src/orchestrator/*|src/render/*|public/*,Smoke questions and grounding checks,"""Web first, CLI minimal""",Ready
MVP-E3,Epic,Quality Ops & Demo,Harden for review and demo,Reviewer trust depends on reliability and clarity,Tests|logs|docs|fallback data|tracker exports,CI/CD|cloud deploy,Fixtures pass; fallback mode works; setup docs are reviewer-friendly,MVP-E1|MVP-E2,P1,4h roll-up,QA / PM / Presenter,epic|qa|demo|ops,Medium,Critical,README.md|planning/*|fixtures/*,Smoke plus negative-path rehearsal,Run recorded demo path if live APIs degrade,Ready
MVP-01,Story,Bootstrap env schema and auth guardrails,Create TS runtime and fail-fast config,Prevents lost time on bad tokens and missing scope,Express server|env validation|sample configs|auth smoke,OAuth login|secret manager,Dev server starts; health OK; missing env fails clearly; sample config documented,MVP-E1,P0,1.5h,Platform / Integrations,foundation|auth|config|critical-path,Medium,High,package.json|tsconfig.json|src/server.ts|src/config.ts|.env.example|config/*.example.json,Env validation unit test and health smoke,Boot in fixture mode if live auth fails,Ready
MVP-02,Story,Team identity mapping query parsing and timeframe rules,Normalize user question to structured request,Identity mismatch is the main failure mode,Alias config|regex parse|timezone defaults|ambiguity contract,Full NLP|multilingual support,Required prompts parse; these days=14d; this week=local Monday->now; ambiguity returns clarification,MVP-01,P0,2h,Backend / Full-stack,query|identity|timeframe|critical-path,High,Critical,src/query/*.ts|config/team-members.example.json,Parser fixtures for required prompts and ambiguity,Use regex-plus-alias only,Ready
MVP-03,Story,Jira Cloud adapter,Fetch assigned Jira work and recent updates,Jira is authoritative for assigned work but permission-sensitive,Alias->accountId|user search|enhanced JQL|fields extraction|top-5 changelogs,Comments|worklogs|bulk sync,Normalized issues returned; enhanced search only; privacy/no-match handled; changelog cap enforced,MVP-01|MVP-02,P0,3h,Integrations,jira|integration|critical-path,High,Critical,src/adapters/jira.ts|src/types/jira.ts|fixtures/jira/*.json,Mock success|no-match|cap|permission failure,Skip changelog enrichment if needed,Ready
MVP-04,Story,GitHub commits and recent-repo adapter,Collect recent commits across tracked repos,Bounded repo scope is the pragmatic MVP,Repo iteration|list commits by author+since|normalize|derive repo set,Global repo discovery|diff analysis,Commits come from configured repos only; normalized records include repo/SHA/date/message; repo set deduped,MVP-01|MVP-02,P0,2.5h,Integrations,github|commits|recent-repos|critical-path,High,High,src/adapters/github-commits.ts|fixtures/github/commits/*.json,Commit hit|no commits|inaccessible repo|identity noise,Reduce repo count or derive repos from PRs,Ready
MVP-05,Story,GitHub pull-request adapter,Collect open and recent PRs across tracked repos,PRs are the clearest demo artifact,Repo iteration|list PRs state=all sort=updated|author/timeframe filtering|normalize,Review comments|merge queue state,Open and recent PRs returned separately; client-side author filtering documented; empty results are valid,MVP-01|MVP-02,P0,2h,Integrations,github|prs|critical-path,High,High,src/adapters/github-prs.ts|fixtures/github/prs/*.json,Open PR|recent closed PR|no PRs|permission miss,Show open PRs only if needed,Ready
MVP-06,Story,Activity schema orchestrator retries and redacted logging,Combine provider data into one resilient payload,Demo should survive single-provider failures,Canonical schema|parallel fan-out|timeouts|retry/backoff|partial-failure flags|Pino logs,Distributed tracing|persistent cache,Parallel fetch works; one retry on 429/5xx; partial success still yields payload; logs redact secrets,MVP-03|MVP-04|MVP-05,P0,2.5h,Backend / Platform,orchestrator|error-handling|observability|critical-path,High,Critical,src/orchestrator/activity.ts|src/types/activity.ts|src/lib/logger.ts,Partial failure|timeout|retry|redaction assertions,Disable retries and keep single-attempt calls,Ready
MVP-07,Story,Grounded response contract and renderer,Render ActivitySummary into clear answer,Answer quality matters but must stay bounded,Deterministic renderer|section contract|caveat rules|optional LLM polish from normalized facts only,Chat memory|tool loops|free-form agenting,Renderer works without OpenAI; output includes Overview/Jira/GitHub/Caveats; no unknown evidence mentioned,MVP-06,P0,1.5h,Backend / AI,response|grounding|llm-optional|critical-path,Medium,Critical,src/render/response.ts|src/prompts/*.md|fixtures/render/*.json,Grounding snapshots and golden outputs,Template-only mode,Ready
MVP-08,Story,Web chat UI and thin CLI fallback,Expose same flow through web and CLI,Web is for judging; CLI is insurance,Static page|submit flow|loading states|CLI wrapper,React SPA|user auth|history persistence,Required prompts run in web UI; readable error states; CLI prints same answer body,MVP-06|MVP-07,P0,2h,Frontend / Full-stack,frontend|cli|demo|critical-path,Medium,Critical,public/index.html|public/app.js|src/cli.ts,Manual UI walkthrough and one CLI smoke,Ship web first and keep CLI minimal,Ready
MVP-09,Task,Fixtures contract tests grounding checks and smoke evals,Validate with stable fixtures and focused evals,A 2-day prototype needs fast trustworthy tests,Sanitized fixtures|parser tests|adapter contracts|grounding checks|e2e smoke,Full test matrix|CI/CD,Required prompts plus ambiguity/no-activity/not-found/partial-failure covered; golden outputs stored; grounding failures detected,MVP-02|MVP-03|MVP-04|MVP-05|MVP-06|MVP-07|MVP-08,P1,2h,QA / Full-stack,tests|evals|grounding|parallel-safe,Medium,High,fixtures/*|tests/*|evals/*,Include at least one recorded fallback run,Rehearse smoke checks manually,Ready
MVP-10,Task,README demo script fallback dataset and tracker export pack,Package the build for review and demo,Reviewer experience matters nearly as much as code,Setup docs|sample env docs|recorded fallback dataset|10-minute talk track|markdown/CSV/JSON backlog exports,Cloud deploy guide|direct Jira import automation,Reviewer can configure in under 15 min; fallback mode answers canned queries without live APIs; ticket pack ready for manual/API recreation,MVP-01|MVP-08|MVP-09,P1,1.5h,PM / Presenter / Full-stack,docs|demo|tracker-export|parallel-safe,Low,Critical,README.md|planning/demo-script.md|planning/backlog.csv|planning/backlog.json|fixtures/demo/*,Dry-run setup and fallback rehearsal,Disclose fixture mode if live APIs are unstable,Ready
STR-01,Task,TTL cache and provider concurrency tuning,Add short cache and bounded fan-out,Helpful for repeated demo queries not required for MVP,5-minute cache|repo concurrency cap,Distributed cache|persistence,Repeated queries hit cache; repo fan-out bounded; stale cache expires quickly,MVP-04|MVP-05|MVP-06,P3,1h,Backend / Platform,stretch|performance,Low,Medium,src/lib/cache.ts|src/lib/concurrency.ts,One cache-hit smoke and one concurrency-limited run,Keep direct live calls,Icebox
STR-02,Story,Interactive member disambiguation and repo-coverage helper,Improve ambiguous-name UX and visible repo scope,Useful polish if demo data has multiple Johns,Disambiguation prompt|repo coverage panel,Full admin UI|dynamic repo discovery,Ambiguous names return choices; tracked repos visible from config,MVP-02|MVP-08,P3,1.5h,Frontend / Full-stack,stretch|ux|disambiguation,Medium,Medium,public/*|src/query/identity.ts,One ambiguous-user fixture,Keep text-only clarification message,Icebox
